id,item,tipo,quantidade,data,createdAt,updatedAt
ef4e6b20-af66-49af-8,Fio azul 4mm,Entrada,5,2026-07-24,2026-07-24,2026-07-24
4faa5492-b469-4f8f-9,Fio preto 4mm,Entrada,4,2026-07-24,2026-07-24,2026-07-24
6f1abc4f-3542-49ec-8,"Fio vermelho 2,50mm",Entrada,15,2026-07-24,2026-07-24,2026-07-24
22677d70-adfe-4adc-9,"Fio azul 2,50mm",Entrada,10,2026-07-24,2026-07-24,2026-07-24
7d3a90dc-a5b8-44be-8,"Fio branco 2,50mm",Entrada,9,2026-07-24,2026-07-24,2026-07-24
8f8d66f6-ea4f-4534-9,Tomada 2 polos 10A/250V,Entrada,52,2026-07-24,2026-07-24,2026-07-24
ca9fdc7b-f0c1-4450-b,Tomada externa 2 polos + T 10A,Entrada,106,2026-07-24,2026-07-24,2026-07-24
980a6efb-3de9-48da-9,Tomada 1 completa 10A,Entrada,24,2026-07-24,2026-07-24,2026-07-24
79af884c-d245-4398-b,Interruptor 1 completo,Entrada,99,2026-07-24,2026-07-24,2026-07-24
0d2a0b36-c0b1-4cab-b,Interruptor de 3 completos,Entrada,23,2026-07-24,2026-07-24,2026-07-24
d5792262-7422-4e87-9,Tomada 2 polos 10A (caixas + unidades),Entrada,23,2026-07-24,2026-07-24,2026-07-24
ac35d98c-552e-4da4-9,Soquete liso spot porcelana,Entrada,190,2026-07-24,2026-07-24,2026-07-24
eb988714-4afd-4cfc-b,Soquete completo uso interno,Entrada,98,2026-07-24,2026-07-24,2026-07-24
22ef9840-3d6f-4aa2-b,Limpador de para-brisa S10,Entrada,3,2026-07-24,2026-07-24,2026-07-24
4caadc9d-6a78-4aa7-8,Limpador de para-brisa Cargo,Entrada,1,2026-07-24,2026-07-24,2026-07-24
d1d9c766-e470-45d8-8,Parafuso prisioneiro de motor elétrico,Entrada,59,2026-07-24,2026-07-24,2026-07-24
4572bed0-a8a9-443b-9,Cabo de serra de mão completo,Entrada,3,2026-07-24,2026-07-24,2026-07-24
baa084cc-09b0-49c3-a,Galão de higienizador de ar condicionado 5L,Entrada,1,2026-07-24,2026-07-24,2026-07-24
76f6120c-ca71-44cb-9,Refletor IP66 6500K branco frio bivolt,Entrada,13,2026-07-24,2026-07-24,2026-07-24
2cceaf4f-6d1b-418c-a,Lâmpada 100W bivolt 127/220V,Entrada,1,2026-07-24,2026-07-24,2026-07-24
cdb8740f-8990-4af0-a,Placa 4x2,Entrada,10,2026-07-24,2026-07-24,2026-07-24
2753eacf-ce8d-43db-b,Central de cerca elétrica,Entrada,2,2026-07-24,2026-07-24,2026-07-24
68d8a244-0417-4ca1-9,Fita veda rosca,Entrada,82,2026-07-24,2026-07-24,2026-07-24
1bb9956c-6a14-42af-a,Disco corte inox 180x1.6,Entrada,48,2026-07-24,2026-07-24,2026-07-24
91c3befd-3bc2-4934-b,Disco de desbaste,Entrada,50,2026-07-24,2026-07-24,2026-07-24
492bc36e-5fc4-4bda-a,Disjuntor 1x16A,Entrada,1,2026-07-24,2026-07-24,2026-07-24
7ac50fd3-f325-4aba-8,Disjuntor 1x25A,Entrada,1,2026-07-24,2026-07-24,2026-07-24
eadb5aa2-e22a-42a5-a,Disjuntor 10A,Entrada,2,2026-07-24,2026-07-24,2026-07-24
89a49e24-2629-4fb6-b,Disjuntor C25,Entrada,15,2026-07-24,2026-07-24,2026-07-24
f5685d1c-770c-490d-9,DPS T2,Entrada,6,2026-07-24,2026-07-24,2026-07-24
920e6450-837f-46a3-9,Fechadura interna porta soprana,Entrada,6,2026-07-24,2026-07-24,2026-07-24
d5d11734-1555-4ec4-8,Fechadura WC porta soprana,Entrada,3,2026-07-24,2026-07-24,2026-07-24
